map_id,canonical_field,display_name,data_type,source_file,source_section,crm_object,suggested_crm_property,allowed_values,required,sync_direction,write_confirmation_required,pii_classification,description,notes
MAP-001,metadata.borrower_id,Borrower ID,text,03-borrower-intake-schema.json,metadata,deal,borrower_id,,yes,bidirectional,yes,internal,Redacted internal identifier.,
MAP-002,business_profile.state,Operating State,select,03-borrower-intake-schema.json,business_profile,company,operating_state,US state codes,yes,bidirectional,yes,internal,Primary operating state.,
MAP-003,business_profile.industry,Industry,select,03-borrower-intake-schema.json,business_profile,company,industry,normalized industry values,yes,bidirectional,yes,internal,Normalized industry.,
MAP-004,business_profile.naics_code,NAICS Code,text,03-borrower-intake-schema.json,business_profile,company,naics_code,2-6 digits,no,bidirectional,yes,internal,Current NAICS code.,
MAP-005,business_profile.time_in_business_months,Time in Business Months,integer,03-borrower-intake-schema.json,business_profile,company,time_in_business_months,0+,yes,bidirectional,yes,internal,Complete operating months.,
MAP-006,financial_profile.average_monthly_revenue,Average Monthly Revenue,currency,03-borrower-intake-schema.json,financial_profile,deal,average_monthly_revenue,0+,yes,bidirectional,yes,confidential_business,Average gross monthly revenue.,
MAP-007,financial_profile.average_bank_balance,Average Bank Balance,currency,03-borrower-intake-schema.json,financial_profile,deal,average_bank_balance,0+,no,inbound_to_crm,yes,sensitive_financial,Derived bank metric.,
MAP-008,financial_profile.existing_monthly_debt_payments,Existing Monthly Payments,currency,03-borrower-intake-schema.json,financial_profile,deal,existing_monthly_debt_payments,0+,no,bidirectional,yes,confidential_business,Known active payments.,
MAP-009,financial_profile.existing_funding_positions,Existing Funding Positions,integer,03-borrower-intake-schema.json,financial_profile,deal,existing_funding_positions,0+,no,bidirectional,yes,confidential_business,Active position count.,
MAP-010,owner_profile.credit_range,Credit Range,select,03-borrower-intake-schema.json,owner_profile,contact_or_deal,credit_range,720_plus|680_719|640_679|600_639|550_599|below_550|unknown|not_provided,no,inbound_to_crm,yes,restricted_personal_data,Range only.,
MAP-011,funding_request.requested_amount,Requested Amount,currency,03-borrower-intake-schema.json,funding_request,deal,requested_amount,0+,yes,bidirectional,yes,confidential_business,Requested funding amount.,
MAP-012,funding_request.minimum_useful_amount,Minimum Useful Amount,currency,03-borrower-intake-schema.json,funding_request,deal,minimum_useful_amount,0+,no,bidirectional,yes,confidential_business,Lowest useful amount.,
MAP-013,funding_request.use_of_funds,Use of Funds,multi_select,03-borrower-intake-schema.json,funding_request,deal,use_of_funds,working_capital|inventory|equipment|payroll|expansion|marketing|receivables_gap|tax_obligation|debt_refinance|acquisition|real_estate|emergency_repair|other,yes,bidirectional,yes,confidential_business,Normalized purposes.,
MAP-014,funding_request.funding_deadline,Funding Deadline,date,03-borrower-intake-schema.json,funding_request,deal,funding_deadline,ISO date,no,bidirectional,yes,internal,Real deadline.,
MAP-015,document_readiness.completion_percentage,Document Readiness,percentage,03-borrower-intake-schema.json,document_readiness,deal,document_readiness_percent,0-100,yes,bidirectional,yes,internal,Package completion.,
MAP-016,document_readiness.missing_documents,Missing Documents,multi_select,03-borrower-intake-schema.json,document_readiness,deal,missing_documents,canonical document types,no,bidirectional,yes,confidential_business,Missing categories.,
MAP-017,data_quality.intake_quality_score,Intake Quality Score,integer,03-borrower-intake-schema.json,data_quality,deal,intake_quality_score,0-100,yes,outbound_from_engine,yes,internal,Completeness and reliability.,
MAP-018,data_quality.intake_label,Intake Quality Label,select,03-borrower-intake-schema.json,data_quality,deal,intake_quality_label,complete|mostly_complete|incomplete|insufficient_for_matching,yes,outbound_from_engine,yes,internal,Canonical intake label.,
MAP-019,risk_flags,Risk Flags,multi_select,03-borrower-intake-schema.json,risk_flags,deal,risk_flags,canonical risk categories,no,bidirectional,yes,confidential_business,Structured risks.,
MAP-020,match.hard_gate_status,Hard-Gate Status,select,08-hard-gate-rules.json,result_catalog,deal,hard_gate_status,pass|fail|review|missing_data,yes,outbound_from_engine,yes,internal,Overall gate status.,
MAP-021,match.top_product_id,Top Apparent Product Match,text,09-weighted-scoring-model.md,score bands,deal,top_product_match,,no,outbound_from_engine,yes,internal,Top apparent route.,
MAP-022,match.top_fit_score,Top Fit Score,number,09-weighted-scoring-model.md,score bands,deal,top_fit_score,0-100,no,outbound_from_engine,yes,internal,Internal score.,
MAP-023,match.match_band,Match Band,select,09-weighted-scoring-model.md,score bands,deal,match_band,strong_apparent_fit|potential_fit|weak_or_conditional_fit|poor_current_fit|no_current_match,yes,outbound_from_engine,yes,internal,Canonical band.,
MAP-024,match.confidence_level,Confidence Level,select,10-confidence-staleness-exception-rules.md,confidence definitions,deal,match_confidence,high|medium|low,yes,outbound_from_engine,yes,internal,Reliability.,
MAP-025,match.criteria_freshness,Criteria Freshness,select,10-confidence-staleness-exception-rules.md,freshness model,deal,criteria_freshness,current|review_soon|stale|unverified|inactive,yes,outbound_from_engine,yes,internal,Criteria status.,
MAP-026,match.missing_information,Missing Information,long_text,12-human-review-brief-template.md,missing information,deal,match_missing_information,,no,outbound_from_engine,yes,confidential_business,Material gaps.,
MAP-027,match.exception_required,Exception Required,boolean,15-exception-review-sop.md,trigger table,deal,exception_required,true|false,yes,outbound_from_engine,yes,internal,Human exception required.,
MAP-028,human_review.reviewer_id,Human Reviewer,user,15-exception-review-sop.md,reviewer roles,deal,human_reviewer,workspace users,no,bidirectional,yes,internal,Assigned reviewer.,
MAP-029,human_review.selected_product_id,Selected Product,text,16-outcome-tracking-schema.json,human_review,deal,selected_product_id,,no,bidirectional,yes,internal,Human-selected product.,
MAP-030,human_review.selected_provider_id,Selected Provider,text,16-outcome-tracking-schema.json,human_review,deal,selected_provider_id,,no,bidirectional,yes,internal,Human-selected provider.,
MAP-031,human_review.review_decision,Review Decision,select,16-outcome-tracking-schema.json,human_review,deal,review_decision,pending|approve_route_for_further_review|reject_route|request_more_information|hold|select_alternative_product|no_current_match,yes,bidirectional,yes,internal,Human decision.,
MAP-032,override.override_used,Manual Override,boolean,16-outcome-tracking-schema.json,override,deal,manual_override,true|false,yes,bidirectional,yes,internal,Whether route changed.,
MAP-033,override.override_reason,Override Reason,long_text,16-outcome-tracking-schema.json,override,deal,override_reason,,no,bidirectional,yes,internal,Evidence-based reason.,
MAP-034,submission.submission_status,Submission Status,select,16-outcome-tracking-schema.json,submission,deal,submission_status,not_started|preparing|ready_to_submit|submitted|additional_information_requested|cancelled|not_applicable,yes,bidirectional,yes,internal,Submission stage.,
MAP-035,decision.outcome_status,Outcome Status,select,16-outcome-tracking-schema.json,decision,deal,outcome_status,pending|approved|declined|withdrawn|no_offer|offer_presented|offer_accepted|offer_rejected|funded|cancelled|no_current_match|readiness_work_needed,yes,bidirectional,yes,internal,Downstream outcome.,
MAP-036,decline.decline_reason_categories,Decline Reason,multi_select,16-outcome-tracking-schema.json,decline,deal,decline_reason,canonical decline reasons,no,inbound_to_crm,yes,confidential_business,Standard reason categories.,
MAP-037,offer.offered_amount,Offered Amount,currency,16-outcome-tracking-schema.json,offer,deal,offered_amount,0+,no,inbound_to_crm,yes,confidential_business,Verified offered amount.,
MAP-038,offer.accepted_amount,Accepted Amount,currency,16-outcome-tracking-schema.json,offer,deal,accepted_amount,0+,no,inbound_to_crm,yes,confidential_business,Accepted amount.,
MAP-039,funding.funded_amount,Funded Amount,currency,16-outcome-tracking-schema.json,funding,deal,funded_amount,0+,no,inbound_to_crm,yes,confidential_business,Verified funded amount.,
MAP-040,funding.funded_at,Funded Date,datetime,16-outcome-tracking-schema.json,funding,deal,funded_date,ISO datetime,no,inbound_to_crm,yes,internal,Funding timestamp.,
MAP-041,workflow.next_action,Next Action,select,18-n8n-workflow-and-action-map.md,CRM updates,task_or_deal,next_action,request_information|verify_criteria|human_review|prepare_checklist|submit|follow_up|close|readiness_work,yes,bidirectional,yes,internal,Current action.,
MAP-042,workflow.next_action_date,Next Action Date,date,18-n8n-workflow-and-action-map.md,CRM updates,task_or_deal,next_action_date,ISO date,yes,bidirectional,yes,internal,Due date.,
MAP-043,consent_and_authorization.consent_status,Consent Status,select,03-borrower-intake-schema.json,consent_and_authorization,deal,consent_status,confirmed|not_collected|declined|unknown,yes,bidirectional,yes,restricted_personal_data,Authorization status.,
MAP-044,model_versions.product_matrix_version,Criteria Version,text,16-outcome-tracking-schema.json,model_versions,deal,criteria_version,,yes,outbound_from_engine,yes,internal,Matrix version.,
MAP-045,model_versions.scoring_model_version,Scoring Model Version,text,16-outcome-tracking-schema.json,model_versions,deal,scoring_model_version,,yes,outbound_from_engine,yes,internal,Score version.,
MAP-046,model_versions.ai_prompt_version,AI Prompt Version,text,16-outcome-tracking-schema.json,model_versions,deal,ai_prompt_version,,no,outbound_from_engine,yes,internal,Prompt version.,
MAP-047,model_versions.workflow_version,Workflow Version,text,16-outcome-tracking-schema.json,model_versions,deal,workflow_version,,yes,outbound_from_engine,yes,internal,Workflow version.,
MAP-048,pipeline_stage.new_lead,New Lead,pipeline_stage,17-crm-field-map.csv,pipeline stages,deal,pipeline_stage,new_lead|intake_started|intake_incomplete|ready_for_match|matching_in_progress|exception_review|human_review|product_selected|documents_requested|ready_to_submit|submitted|additional_information_requested|approved|offer_presented|funded|declined|borrower_withdrew|readiness_work_needed|no_current_match|renewal_or_follow_up,no,bidirectional,yes,internal,Canonical pipeline stage: new_lead.,One row per stage for implementation mapping.
MAP-049,pipeline_stage.intake_started,Intake Started,pipeline_stage,17-crm-field-map.csv,pipeline stages,deal,pipeline_stage,new_lead|intake_started|intake_incomplete|ready_for_match|matching_in_progress|exception_review|human_review|product_selected|documents_requested|ready_to_submit|submitted|additional_information_requested|approved|offer_presented|funded|declined|borrower_withdrew|readiness_work_needed|no_current_match|renewal_or_follow_up,no,bidirectional,yes,internal,Canonical pipeline stage: intake_started.,One row per stage for implementation mapping.
MAP-050,pipeline_stage.intake_incomplete,Intake Incomplete,pipeline_stage,17-crm-field-map.csv,pipeline stages,deal,pipeline_stage,new_lead|intake_started|intake_incomplete|ready_for_match|matching_in_progress|exception_review|human_review|product_selected|documents_requested|ready_to_submit|submitted|additional_information_requested|approved|offer_presented|funded|declined|borrower_withdrew|readiness_work_needed|no_current_match|renewal_or_follow_up,no,bidirectional,yes,internal,Canonical pipeline stage: intake_incomplete.,One row per stage for implementation mapping.
MAP-051,pipeline_stage.ready_for_match,Ready For Match,pipeline_stage,17-crm-field-map.csv,pipeline stages,deal,pipeline_stage,new_lead|intake_started|intake_incomplete|ready_for_match|matching_in_progress|exception_review|human_review|product_selected|documents_requested|ready_to_submit|submitted|additional_information_requested|approved|offer_presented|funded|declined|borrower_withdrew|readiness_work_needed|no_current_match|renewal_or_follow_up,no,bidirectional,yes,internal,Canonical pipeline stage: ready_for_match.,One row per stage for implementation mapping.
MAP-052,pipeline_stage.matching_in_progress,Matching In Progress,pipeline_stage,17-crm-field-map.csv,pipeline stages,deal,pipeline_stage,new_lead|intake_started|intake_incomplete|ready_for_match|matching_in_progress|exception_review|human_review|product_selected|documents_requested|ready_to_submit|submitted|additional_information_requested|approved|offer_presented|funded|declined|borrower_withdrew|readiness_work_needed|no_current_match|renewal_or_follow_up,no,bidirectional,yes,internal,Canonical pipeline stage: matching_in_progress.,One row per stage for implementation mapping.
MAP-053,pipeline_stage.exception_review,Exception Review,pipeline_stage,17-crm-field-map.csv,pipeline stages,deal,pipeline_stage,new_lead|intake_started|intake_incomplete|ready_for_match|matching_in_progress|exception_review|human_review|product_selected|documents_requested|ready_to_submit|submitted|additional_information_requested|approved|offer_presented|funded|declined|borrower_withdrew|readiness_work_needed|no_current_match|renewal_or_follow_up,no,bidirectional,yes,internal,Canonical pipeline stage: exception_review.,One row per stage for implementation mapping.
MAP-054,pipeline_stage.human_review,Human Review,pipeline_stage,17-crm-field-map.csv,pipeline stages,deal,pipeline_stage,new_lead|intake_started|intake_incomplete|ready_for_match|matching_in_progress|exception_review|human_review|product_selected|documents_requested|ready_to_submit|submitted|additional_information_requested|approved|offer_presented|funded|declined|borrower_withdrew|readiness_work_needed|no_current_match|renewal_or_follow_up,no,bidirectional,yes,internal,Canonical pipeline stage: human_review.,One row per stage for implementation mapping.
MAP-055,pipeline_stage.product_selected,Product Selected,pipeline_stage,17-crm-field-map.csv,pipeline stages,deal,pipeline_stage,new_lead|intake_started|intake_incomplete|ready_for_match|matching_in_progress|exception_review|human_review|product_selected|documents_requested|ready_to_submit|submitted|additional_information_requested|approved|offer_presented|funded|declined|borrower_withdrew|readiness_work_needed|no_current_match|renewal_or_follow_up,no,bidirectional,yes,internal,Canonical pipeline stage: product_selected.,One row per stage for implementation mapping.
MAP-056,pipeline_stage.documents_requested,Documents Requested,pipeline_stage,17-crm-field-map.csv,pipeline stages,deal,pipeline_stage,new_lead|intake_started|intake_incomplete|ready_for_match|matching_in_progress|exception_review|human_review|product_selected|documents_requested|ready_to_submit|submitted|additional_information_requested|approved|offer_presented|funded|declined|borrower_withdrew|readiness_work_needed|no_current_match|renewal_or_follow_up,no,bidirectional,yes,internal,Canonical pipeline stage: documents_requested.,One row per stage for implementation mapping.
MAP-057,pipeline_stage.ready_to_submit,Ready To Submit,pipeline_stage,17-crm-field-map.csv,pipeline stages,deal,pipeline_stage,new_lead|intake_started|intake_incomplete|ready_for_match|matching_in_progress|exception_review|human_review|product_selected|documents_requested|ready_to_submit|submitted|additional_information_requested|approved|offer_presented|funded|declined|borrower_withdrew|readiness_work_needed|no_current_match|renewal_or_follow_up,no,bidirectional,yes,internal,Canonical pipeline stage: ready_to_submit.,One row per stage for implementation mapping.
MAP-058,pipeline_stage.submitted,Submitted,pipeline_stage,17-crm-field-map.csv,pipeline stages,deal,pipeline_stage,new_lead|intake_started|intake_incomplete|ready_for_match|matching_in_progress|exception_review|human_review|product_selected|documents_requested|ready_to_submit|submitted|additional_information_requested|approved|offer_presented|funded|declined|borrower_withdrew|readiness_work_needed|no_current_match|renewal_or_follow_up,no,bidirectional,yes,internal,Canonical pipeline stage: submitted.,One row per stage for implementation mapping.
MAP-059,pipeline_stage.additional_information_requested,Additional Information Requested,pipeline_stage,17-crm-field-map.csv,pipeline stages,deal,pipeline_stage,new_lead|intake_started|intake_incomplete|ready_for_match|matching_in_progress|exception_review|human_review|product_selected|documents_requested|ready_to_submit|submitted|additional_information_requested|approved|offer_presented|funded|declined|borrower_withdrew|readiness_work_needed|no_current_match|renewal_or_follow_up,no,bidirectional,yes,internal,Canonical pipeline stage: additional_information_requested.,One row per stage for implementation mapping.
MAP-060,pipeline_stage.approved,Approved,pipeline_stage,17-crm-field-map.csv,pipeline stages,deal,pipeline_stage,new_lead|intake_started|intake_incomplete|ready_for_match|matching_in_progress|exception_review|human_review|product_selected|documents_requested|ready_to_submit|submitted|additional_information_requested|approved|offer_presented|funded|declined|borrower_withdrew|readiness_work_needed|no_current_match|renewal_or_follow_up,no,bidirectional,yes,internal,Canonical pipeline stage: approved.,One row per stage for implementation mapping.
MAP-061,pipeline_stage.offer_presented,Offer Presented,pipeline_stage,17-crm-field-map.csv,pipeline stages,deal,pipeline_stage,new_lead|intake_started|intake_incomplete|ready_for_match|matching_in_progress|exception_review|human_review|product_selected|documents_requested|ready_to_submit|submitted|additional_information_requested|approved|offer_presented|funded|declined|borrower_withdrew|readiness_work_needed|no_current_match|renewal_or_follow_up,no,bidirectional,yes,internal,Canonical pipeline stage: offer_presented.,One row per stage for implementation mapping.
MAP-062,pipeline_stage.funded,Funded,pipeline_stage,17-crm-field-map.csv,pipeline stages,deal,pipeline_stage,new_lead|intake_started|intake_incomplete|ready_for_match|matching_in_progress|exception_review|human_review|product_selected|documents_requested|ready_to_submit|submitted|additional_information_requested|approved|offer_presented|funded|declined|borrower_withdrew|readiness_work_needed|no_current_match|renewal_or_follow_up,no,bidirectional,yes,internal,Canonical pipeline stage: funded.,One row per stage for implementation mapping.
MAP-063,pipeline_stage.declined,Declined,pipeline_stage,17-crm-field-map.csv,pipeline stages,deal,pipeline_stage,new_lead|intake_started|intake_incomplete|ready_for_match|matching_in_progress|exception_review|human_review|product_selected|documents_requested|ready_to_submit|submitted|additional_information_requested|approved|offer_presented|funded|declined|borrower_withdrew|readiness_work_needed|no_current_match|renewal_or_follow_up,no,bidirectional,yes,internal,Canonical pipeline stage: declined.,One row per stage for implementation mapping.
MAP-064,pipeline_stage.borrower_withdrew,Borrower Withdrew,pipeline_stage,17-crm-field-map.csv,pipeline stages,deal,pipeline_stage,new_lead|intake_started|intake_incomplete|ready_for_match|matching_in_progress|exception_review|human_review|product_selected|documents_requested|ready_to_submit|submitted|additional_information_requested|approved|offer_presented|funded|declined|borrower_withdrew|readiness_work_needed|no_current_match|renewal_or_follow_up,no,bidirectional,yes,internal,Canonical pipeline stage: borrower_withdrew.,One row per stage for implementation mapping.
MAP-065,pipeline_stage.readiness_work_needed,Readiness Work Needed,pipeline_stage,17-crm-field-map.csv,pipeline stages,deal,pipeline_stage,new_lead|intake_started|intake_incomplete|ready_for_match|matching_in_progress|exception_review|human_review|product_selected|documents_requested|ready_to_submit|submitted|additional_information_requested|approved|offer_presented|funded|declined|borrower_withdrew|readiness_work_needed|no_current_match|renewal_or_follow_up,no,bidirectional,yes,internal,Canonical pipeline stage: readiness_work_needed.,One row per stage for implementation mapping.
MAP-066,pipeline_stage.no_current_match,No Current Match,pipeline_stage,17-crm-field-map.csv,pipeline stages,deal,pipeline_stage,new_lead|intake_started|intake_incomplete|ready_for_match|matching_in_progress|exception_review|human_review|product_selected|documents_requested|ready_to_submit|submitted|additional_information_requested|approved|offer_presented|funded|declined|borrower_withdrew|readiness_work_needed|no_current_match|renewal_or_follow_up,no,bidirectional,yes,internal,Canonical pipeline stage: no_current_match.,One row per stage for implementation mapping.
MAP-067,pipeline_stage.renewal_or_follow_up,Renewal Or Follow Up,pipeline_stage,17-crm-field-map.csv,pipeline stages,deal,pipeline_stage,new_lead|intake_started|intake_incomplete|ready_for_match|matching_in_progress|exception_review|human_review|product_selected|documents_requested|ready_to_submit|submitted|additional_information_requested|approved|offer_presented|funded|declined|borrower_withdrew|readiness_work_needed|no_current_match|renewal_or_follow_up,no,bidirectional,yes,internal,Canonical pipeline stage: renewal_or_follow_up.,One row per stage for implementation mapping.
MAP-068,business_profile.business_persona,Business Persona,text,03-borrower-intake-schema.json,business_profile,contact_or_deal,business_persona,existing_small_business_owner|gig_worker_independent_contractor|ecommerce_marketplace_seller|startup_founder|real_estate_investor|contractor_trucking_equipment_heavy|not_sure,no,bidirectional,no,internal,Operational borrower profile used for family routing.,Added in Knowledge pack v1.1 from existing lead-field and scorecard registries.
MAP-069,financial_profile.lowest_monthly_revenue_90_days,Lowest Monthly Revenue - 90 Days,number,03-borrower-intake-schema.json,financial_profile,deal,lowest_monthly_revenue_90_days,,no,bidirectional,yes,confidential_financial,Lowest posted monthly revenue in the recent 90-day review window.,Added in Knowledge pack v1.1 from existing lead-field and scorecard registries.
MAP-070,financial_profile.bank_account_type,Bank Account Type,text,03-borrower-intake-schema.json,financial_profile,deal,bank_account_type,business|personal|none|unknown,no,bidirectional,yes,confidential_financial,Account type receiving business sales.,Added in Knowledge pack v1.1 from existing lead-field and scorecard registries.
MAP-071,financial_profile.bank_status,Bank Status,text,03-borrower-intake-schema.json,financial_profile,deal,bank_status,no_business_bank_account|low_or_inconsistent_deposits|consistent_monthly_deposits|strong_clean_activity|recent_nsfs_overdrafts|unknown,no,bidirectional,yes,confidential_financial,Normalized bank-activity status used for readiness and route review.,Added in Knowledge pack v1.1 from existing lead-field and scorecard registries.
MAP-072,match.funding_readiness_score,Funding Readiness Score,number,16-outcome-tracking-schema.json,match_reference,deal,funding_readiness_score,0-100,no,outbound,yes,internal,Upstream funding-readiness score; separate from product-fit score.,Added in Knowledge pack v1.1 from existing lead-field and scorecard registries.
MAP-073,match.funding_readiness_tier,Funding Readiness Tier,text,16-outcome-tracking-schema.json,match_reference,deal,funding_readiness_tier,highly_fundable|fundable_review|selective_programs|not_ready_fixable,no,outbound,yes,internal,Upstream readiness tier; separate from product-fit routing label.,Added in Knowledge pack v1.1 from existing lead-field and scorecard registries.
